,Position,Company Name,Location,Start Date,CTC (Annual),Experience,Posted Ago,Role
151,Copywriter,Celebto Technologies Private Limited,Bangalore,Starts Immediately,"₹ 2,00,000",0-2 years,1 week ago,Job
152,Production Control Manager,SALUJA CAD CONSULTANCY,"Delhi, Gurgaon, Faridabad, Ghaziabad",Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,Job
153,E-Commerce Store Manager,MarkAce Marketing Private Limited,"Chandigarh, Mohali",Starts Immediately,"₹ 4,00,000 - 4,80,000",0-2 years,2 days ago,Job
154,Automotive Content Writer,College Dunia,Gurgaon,Starts Immediately,"₹ 2,40,000 - 3,50,000",0-2 years,5 days ago,Job
155,Business Development Specialist,HSV Media Private Limited,Gurgaon,Starts Immediately,"₹ 2,60,000 - 3,60,000",0-2 years,2 days ago,Job
156,Associate Graphic Designer,UNEAKO,Greater Noida,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 day ago,Job
157,Retail Sales Executive,Disha Skill Training Services,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",1-3 years,2 days ago,Job
158,Product Analyst Trainee,InstaAstro,Noida,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-1 years,1 day ago,Job
159,Facility & Operations Manager,Supreme Cowork,Delhi,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,2 days ago,Job
160,Investment Banking Associate,Mastork Technologies,"Delhi, Noida, Gurgaon",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,Job
161,Junior Operations Manager,Mohite Consultancy Services (MCS),Delhi,Starts Immediately,"₹ 2,40,000 - 3,20,000",0-2 years,1 day ago,Job
162,Junior Social Media Marketing Manager,"Chamber Of Commerce, Sustainable Development And Foreign Relations",Delhi,Starts Immediately,"₹ 2,20,000 - 4,20,000",0-2 years,1 day ago,Job
163,Business Development Specialist,UFaber Edutech,Pune,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago,Job
164,Sales Trainee (MBA Fresher),Zigsaw Consultancy,Pune,Starts Immediately,"₹ 3,00,000 - 5,00,000",0 years,2 days ago,Job
165,Sales Associate,Milagro Universe,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,3 days ago,Job
166,Behavioural Therapist,Leap Skills,"Pune, Thane, Kalyan, Navi Mumbai, Bhiwandi, Mumbai",Starts Immediately,"₹ 2,00,000",0-2 years,1 day ago,Job
